loop ID,begin (sec),end (sec),nVehContrib,flow (veh/hr),occupancy (%),speed (m/s),nVehEntered
loop0,0.00,3600.00,400,400.00,33.67,1.69,400
loop1,0.00,3600.00,396,396.00,6.60,10.35,396
loop2,0.00,3600.00,392,392.00,4.67,11.81,392
loop3,0.00,3600.00,387,387.00,4.74,11.57,388
loop4,0.00,3600.00,382,382.00,4.76,11.35,382
loop0,3600.00,7200.00,400,400.00,34.05,1.67,400
loop1,3600.00,7200.00,399,399.00,6.54,10.56,399
loop2,3600.00,7200.00,398,398.00,4.80,11.76,398
loop3,3600.00,7200.00,398,398.00,4.82,11.64,397
loop4,3600.00,7200.00,400,400.00,4.92,11.51,400
loop0,7200.00,10800.00,400,400.00,35.66,1.60,400
loop1,7200.00,10800.00,391,391.00,6.30,10.02,399
loop2,7200.00,10800.00,400,400.00,5.25,10.87,400
loop3,7200.00,10800.00,401,401.00,5.46,10.51,401
loop4,7200.00,10800.00,402,402.00,5.51,10.42,402
